mimic_race,count,race,ethnicity,flag
WHITE,272932,White,Non-Hispanic,
BLACK/AFRICAN AMERICAN,59959,Black or African American,Non-Hispanic,
OTHER,15102,Other,Unknown,
UNKNOWN,10668,Unknown,Unknown,
HISPANIC/LATINO - PUERTO RICAN,8076,Other,Hispanic,
WHITE - OTHER EUROPEAN,7925,White,Non-Hispanic,
HISPANIC OR LATINO,7754,Other,Hispanic,
ASIAN,6156,Asian,Non-Hispanic,
ASIAN - CHINESE,5587,Asian,Non-Hispanic,
WHITE - RUSSIAN,5024,White,Non-Hispanic,
BLACK/CAPE VERDEAN,4765,Black or African American,Non-Hispanic,
HISPANIC/LATINO - DOMINICAN,4383,Other,Hispanic,
BLACK/CARIBBEAN ISLAND,2704,Black or African American,Non-Hispanic,
BLACK/AFRICAN,2530,Black or African American,Non-Hispanic,
PATIENT DECLINED TO ANSWER,1761,Unknown,Unknown,
UNABLE TO OBTAIN,1603,Unknown,Unknown,
PORTUGUESE,1510,White,Non-Hispanic,
ASIAN - SOUTH EAST ASIAN,1446,Asian,Non-Hispanic,
HISPANIC/LATINO - GUATEMALAN,1330,Other,Hispanic,
ASIAN - ASIAN INDIAN,1198,Asian,Non-Hispanic,
WHITE - EASTERN EUROPEAN,1170,White,Non-Hispanic,
WHITE - BRAZILIAN,1103,White,Non-Hispanic,
AMERICAN INDIAN/ALASKA NATIVE,919,American Indian or Alaska Native,Non-Hispanic,
HISPANIC/LATINO - SALVADORAN,892,Other,Hispanic,
HISPANIC/LATINO - MEXICAN,665,Other,Hispanic,
HISPANIC/LATINO - COLUMBIAN,639,Other,Hispanic,
MULTIPLE RACE/ETHNICITY,560,Other,Unknown,changed race to other
HISPANIC/LATINO - HONDURAN,536,Other,Hispanic,
ASIAN - KOREAN,506,Asian,Non-Hispanic,
SOUTH AMERICAN,505,Other,Unknown,
HISPANIC/LATINO - CUBAN,500,Other,Hispanic,
HISPANIC/LATINO - CENTRAL AMERICAN,437,Other,Hispanic,
NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,386,Native Hawaiian or Other Pacific Islander,Non-Hispanic,